id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
42974,UNNE,medium_airport,Yeltsovka Airport,55.0924,83.004501,617,AS,RU,RU-NVS,Novosibirsk,no,,,UNNE,,,https://en.wikipedia.org/wiki/Elitsovka_Airport,"Eltsovka Airport, Аэропорт Ельцовка"
6507,UNNT,large_airport,Novosibirsk Tolmachevo Airport,55.019756,82.618675,365,EU,RU,RU-NVS,Novosibirsk,yes,UNNT,OVB,UNNT,,http://eng.tolmachevo.ru/,https://en.wikipedia.org/wiki/Tolmachevo_Airport,
43882,UNOK,small_airport,Kalachinsk Airport,55.02000045776367,74.61000061035156,361,AS,RU,RU-OMS,Kalachinsk,no,,,UNOK,,,,Аэропорт Калачинск
6508,UNOO,medium_airport,Omsk Central Airport,54.96699905395508,73.31050109863281,311,AS,RU,RU-OMS,Omsk,yes,UNOO,OMS,UNOO,,,https://en.wikipedia.org/wiki/Tsentralny_Airport,Omsk Tsentralny Airport
44356,UNOS,medium_airport,Omsk Severny Airport,54.974998,73.555,380,AS,RU,RU-OMS,Omsk,no,,,UNOS,,,https://en.wikipedia.org/wiki/Omsk-Severnyy_(air_base),"Omsk North Airport, Аэропорт Омск Северный"
44864,UNOT,small_airport,Tara Airport,56.900001525878906,74.30000305175781,253,EU,RU,RU-OMS,Tara,no,,,UNOT,,,,Аэропорт Тара
44862,UNOW,small_airport,Tevriz Airport,57.50400161743164,72.33100128173828,217,EU,RU,RU-OMS,Tevriz,no,,,UNOW,,,,Аэропорт Тевриз
315351,UNSB,heliport,181 Sobolinaya Helipad,58.4589,79.5317,234,EU,RU,RU-TOM,,no,,,UNSB,UNSB,,,"УНСБ, 181 Соболиная"
542136,UNSN,heliport,Novikovo Heliport,58.215009,80.623655,222,EU,RU,RU-TOM,Novikovo,no,,,UNSN,,,,"УНСН, Новиково"
315350,UNSR,heliport,1 Razryvno-Moiseevskaya Helipad,58.095,76.0083,357,EU,RU,RU-TOM,,no,,,UNSR,UNSR,,,"УНСР, 1-я Разрывно-Моисеевская"
32546,UNSS,medium_airport,Strezhevoy Airport,60.7094,77.660004,164,AS,RU,RU-TOM,Strezhevoy,no,UNSS,SWT,UNSS,,,https://en.wikipedia.org/wiki/Strezhevoy_Airport,Аэропорт Стрежевой
354740,UNTR,small_airport,Beryozkino Airfield,56.50264,84.686575,394,AS,RU,RU-TOM,Tomsk,no,,,UNTR,,http://sibaerocraft.ru/,,
32468,UNTT,medium_airport,Bogashevo Airport,56.380298614502,85.208297729492,597,AS,RU,RU-TOM,Tomsk,yes,UNTT,TOF,UNTT,,http://www.tomskairport.ru,https://en.wikipedia.org/wiki/Bogashevo_Airport,
32045,UNWW,medium_airport,Spichenkovo Airport,53.811401,86.877197,1024,EU,RU,RU-KEM,Novokuznetsk,yes,UNWW,NOZ,UNWW,,,https://en.wikipedia.org/wiki/Spichenkovo_Airport,
42953,UODD,medium_airport,Dikson Airport,73.517807,80.379669,47,AS,RU,RU-KYA,Dikson,no,UODD,DKS,UODD,,,https://en.wikipedia.org/wiki/Dikson_Airport,Аэропорт Диксон
